sweep_rank,sweep_tier,title,year,venue,authors,doi,url,cited_by_count,source_queries,concepts,category,relevance_score,abstract_summary,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_reason,openalex_id
302,landscape_1000,INVERSE KINEMATICS AND GEOMETRIC CONSTRAINTS FOR ARTICULATED FIGURE MANIPULATION,1993,Summit (Simon Fraser University),C. Welman,,http://summit.sfu.ca/item/5706,182,robot manipulation action normalization,Inverse kinematics; Kinematics; Animation; Computer science; Computer animation; Inverse; Interpolation (computer graphics); Computer graphics (images); Simple (philosophy); Inverse dynamics,task-space control and kinematics,47.209,"Computer animation of articulated figures can be tedious, largely due to the amount of data which must be specified at each frame.Animation techniques range from simple interpolation between keyframed figure poses to higher-level algorithmic models of specific movement patterns.The former provides the animator with complete",Convert desired task-space motion into feasible low-level robot commands.,Task-space or Jacobian-based controller translating desired motion into robot commands.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Task-space targets are already known and cleanly specified. Singularities and actuator limits can be handled as controller details.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Local Jacobian availability and calibration.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Controller preserves motion but not learned action-token semantics.,Reduces novelty of using Jacobians alone; leaves novelty only for action-space renormalization and cross-embodiment policy semantics.,"How to make the policy action variable itself comparable across embodiments, including infeasible-effect reporting.",Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W1534424366
303,landscape_1000,Memetic Evolution for Generic Full-Body Inverse Kinematics in Robotics and Animation,2018,IEEE Transactions on Evolutionary Computation,Sebastian Starke; Norman Hendrich; Jianwei Zhang,https://doi.org/10.1109/tevc.2018.2867601,https://doi.org/10.1109/tevc.2018.2867601,83,inverse kinematics robot learning manipulation; robot controller transfer different kinematics,Inverse kinematics; Artificial intelligence; Kinematics; Robotics; Animation; Computer science; Computer vision; Inverse; Computer animation; Robot,task-space control and kinematics,47.131,"In this paper, a novel and fast memetic evolutionary algorithm is presented which can solve fully constrained generic inverse kinematics with multiple end effectors and goal objectives, leaving high flexibility for the design of custom cost functions. The algorithm utilizes a hybridization of evolutionary and",Convert desired task-space motion into feasible low-level robot commands.,Task-space or Jacobian-based controller translating desired motion into robot commands.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Task-space targets are already known and cleanly specified. Singularities and actuator limits can be handled as controller details.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Local Jacobian availability and calibration.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Controller preserves motion but not learned action-token semantics.,Reduces novelty of using Jacobians alone; leaves novelty only for action-space renormalization and cross-embodiment policy semantics.,"How to make the policy action variable itself comparable across embodiments, including infeasible-effect reporting.",Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2889450890
304,landscape_1000,SRT-H: A hierarchical framework for autonomous surgery via language-conditioned imitation learning,2025,Science Robotics,Ji Woong Kim; Juo-Tung Chen; Pascal Hansen; Lucy Xiaoyang Shi; Antony Goldenberg; Samuel Schmidgall; Paul Maria Scheikl; Anton Deguet; et al.,https://doi.org/10.1126/scirobotics.adt5254,https://doi.org/10.1126/scirobotics.adt5254,70,language conditioned robot manipulation policy,Imitation; Cognitive science; Psychology; Communication; Computer science; Neuroscience,robot foundation policies,47.113,"Research on autonomous surgery has largely focused on simple task automation in controlled environments. However, real-world surgical applications demand dexterous manipulation over extended durations and robust generalization to the inherent variability of human tissue. These challenges remain difficult to address using existing logic-based or conventional","Scale robot policies across tasks, datasets, and robot embodiments.",Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4412124433
305,landscape_1000,Nonparametric Online Learning Control for Soft Continuum Robot: An Enabling Technique for Effective Endoscopic Navigation,2017,Soft Robotics,Kit-Hang Lee; Denny K.C. Fu; Martin C. W. Leong; Marco C. K. Chow; Hing-Choi Fu; Kaspar Althoefer; K. Y. Sze; ChungKwong Yeung; et al.,https://doi.org/10.1089/soro.2016.0065,https://doi.org/10.1089/soro.2016.0065,126,inverse kinematics robot learning manipulation,Workspace; Robot; Computer science; Control engineering; Redundancy (engineering); Trajectory; Adaptability; Artificial intelligence; Control theory (sociology); Control (management),robot manipulation learning,47.094,"Bioinspired robotic structures comprising soft actuation units have attracted increasing research interest. Taking advantage of its inherent compliance, soft robots can assure safe interaction with external environments, provided that precise and effective manipulation could be achieved. Endoscopy is a typical application. However, previous model-based control",Acquire manipulation skills from perception and interaction data.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. End-effector commands have comparable authority across arms. Object pose change can be learned without explicit capability normalization.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2745494968
306,landscape_1000,Body Transformer: Leveraging Robot Embodiment for Policy Learning,2024,arXiv (Cornell University),Carmelo Sferrazza; Dun-Ming Huang; Fangchen Liu; Jongmin Lee; Pieter Abbeel,https://doi.org/10.48550/arxiv.2408.06316,http://arxiv.org/abs/2408.06316,1,robot policy embodiment agnostic representation,Transformer; Robot; Computer science; Humancomputer interaction; Artificial intelligence; Engineering; Electrical engineering; Voltage,cross-embodiment and morphology transfer,47.093,"In recent years, the transformer architecture has become the de facto standard for machine learning algorithms applied to natural language processing and computer vision. Despite notable evidence of successful deployment of this architecture in the context of robot learning, we claim that vanilla transformers do","Transfer skills when kinematics, dynamics, or morphology differ.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4402387445
307,landscape_1000,Evaluating Real-World Robot Manipulation Policies in Simulation,2024,arXiv (Cornell University),Xuanlin Li; Kyle Hsu; Jiayuan Gu; Karl Pertsch; Oier Mees; Homer Walke; Chuyuan Fu; Ishikaa Lunawat; et al.,https://doi.org/10.48550/arxiv.2405.05941,http://arxiv.org/abs/2405.05941,4,generalist robot policy manipulation; sim to real robot manipulation policy,Robot; Computer science; Humancomputer interaction; Artificial intelligence; Simulation,robot foundation policies,47.009,"The field of robotics has made significant advances towards generalist robot manipulation policies. However, real-world evaluation of such policies is not scalable and faces reproducibility challenges, which are likely to worsen as policies broaden the spectrum of tasks they can perform. We identify control and","Scale robot policies across tasks, datasets, and robot embodiments.","Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4396822572
308,landscape_1000,Robot Behavior Generation for Social Human-Robot Interaction,2025,International Journal of Social Robotics,Esteve Valls Mascaro; Dongheui Lee,https://doi.org/10.1007/s12369-025-01333-3,https://doi.org/10.1007/s12369-025-01333-3,2,robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Robot; Workspace; Retargeting; Computer science; Artificial intelligence; Humanrobot interaction; Social robot; Motion (physics); Robotics; Humancomputer interaction,retargeting and teleoperation,46.949,"The increasing presence of robots in human workspaces underscores the need for intelligent systems that can understand human behaviors and act accordingly for a natural human-robot interaction (HRI). In this work, we propose a method to generate a robots behavior for social HRI by integrating","Move demonstrations or commands between human, simulator, and robot bodies.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4415926328
309,landscape_1000,"Autonomy for Space Robots: Past, Present, and Future",2021,Current Robotics Reports,Issa Nesnas; Lorraine Fesq; R. Volpe,https://doi.org/10.1007/s43154-021-00057-2,https://doi.org/10.1007/s43154-021-00057-2,124,operational space control robot manipulation,Spacecraft; Autonomy; Robotics; Computer science; Flexibility (engineering); Space exploration; Robot; Mars Exploration Program; Artificial intelligence; Systems engineering,imitation and demonstrations,46.878,"Abstract Purpose of Review The purpose of this review is to highlight space autonomy advances across mission phases, capture the anticipated need for autonomy and associated rationale, assess state of the practice, and share thoughts for future advancements that could lead to a new frontier",Learn robot behavior from demonstrations without expensive reward design.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Demonstration actions are valid labels for the learner body. Covariate shift matters more than action-semantic shift.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3177386710
310,landscape_1000,Motion capture based human motion recognition and imitation by direct marker control,2008,,Christian Ott; Dongheui Lee; Yoshihiko Nakamura,https://doi.org/10.1109/ichr.2008.4755984,https://doi.org/10.1109/ichr.2008.4755984,121,inverse kinematics robot learning manipulation,Humanoid robot; Inverse kinematics; Artificial intelligence; Computer science; Computer vision; Robot; Motion (physics); Motion capture; Kinematics; Motion control,sim-to-real transfer,46.804,"This paper deals with the imitation of human motions by a humanoid robot based on marker point measurements from a 3D motion capture system. For imitating the humanpsilas motion, we propose a Cartesian control approach in which a set of control points on the humanoid",Make policies trained in simulation work on physical robots.,Task-space or Jacobian-based controller translating desired motion into robot commands.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2098516422
311,landscape_1000,Prescient teleoperation of humanoid robots,2021,arXiv (Cornell University),Luigi Penco; Jean-Baptiste Mouret; Serena Ivaldi,https://doi.org/10.48550/arxiv.2107.01281,http://arxiv.org/abs/2107.01281,1,teleoperation retargeting robot manipulation,Teleoperation; Humanoid robot; Robot; Computer science; Retargeting; Computer vision; Operator (biology); Artificial intelligence; Robot control; Social robot,retargeting and teleoperation,46.743,Humanoid robots could be versatile and intuitive human avatars that operate remotely in inaccessible places: the robot could reproduce in the remote location the movements of an operator equipped with a wearable motion capture device while sending visual feedback to the operator. While substantial progress,"Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4287101794
312,landscape_1000,What Matters in Language Conditioned Robotic Imitation Learning Over Unstructured Data,2022,IEEE Robotics and Automation Letters,Oier Mees; Lukas Hermann; Wolfram Burgard,https://doi.org/10.1109/lra.2022.3196123,https://doi.org/10.1109/lra.2022.3196123,68,language conditioned robot manipulation policy,Computer science; Artificial intelligence; Robot; Robotics; Natural language; Benchmark (surveying); Machine learning; Transformer; Deep learning; Humancomputer interaction,imitation and demonstrations,46.734,A long-standing goal in robotics is to build robots that can perform a wide range of daily tasks from perceptions obtained with their onboard sensors and specified only via natural language. While recently substantial advances have been achieved in language-driven robotics by leveraging end-to-end learning,Learn robot behavior from demonstrations without expensive reward design.,"Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Demonstration actions are valid labels for the learner body. Covariate shift matters more than action-semantic shift.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4293498911
313,landscape_1000,A review on sensory perception for dexterous robotic manipulation,2022,International Journal of Advanced Robotic Systems,Ziwei Xia; Zhen Deng; Bin Fang; Yiyong Yang; Fuchun Sun,https://doi.org/10.1177/17298806221095974,https://doi.org/10.1177/17298806221095974,65,contact rich manipulation robot learning,Perception; Computer science; Humancomputer interaction; Sensory system; Robotics; Artificial intelligence; Active perception; Tactile perception; Robotic hand; Robot,contact-rich manipulation,46.69,Sensory perception for dexterous robotic hands is an active research area and recent progress in robotics. Effective dexterous manipulation requires robotic hands to accurately feedback their state or perceive the surrounding environment. This article reviews the state-of-the-art of sensory perception for dexterous robotic manipulation. Two,"Control manipulation when contact, friction, and local geometry dominate outcomes.",Contact-state or tactile representation used to guide manipulation.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Contact mode is stable enough for local action maps to be useful. Friction and compliance do not dominate action semantics.,"Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Friction, compliance, and contact mode.",Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4225085526
314,landscape_1000,Lamarckian Evolution of Simulated Modular Robots,2019,Frontiers in Robotics and AI,Milan Jelisavcic; Kyrre Glette; Evert Haasdijk; A. E. Eiben,https://doi.org/10.3389/frobt.2019.00009,https://doi.org/10.3389/frobt.2019.00009,33,locomotion morphology transfer robot; robot policy transfer morphology,Computer science; Self-reconfiguring modular robot; Robot; Modular design; Artificial intelligence; Mobile robot; Robot control; Operating system,cross-embodiment and morphology transfer,46.676,We study evolutionary robot systems where not only the robot brains but also the robot bodies are evolvable. Such systems need to include a learning period right after 'birth' to acquire a controller that fits the newly created body. In this paper we investigate the,"Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W2917039419
315,landscape_1000,Bi-ACT: Bilateral Control-Based Imitation Learning via Action Chunking with Transformer,2024,,Thanpimon Buamanee; Masato Kobayashi; Yuki Uranishi; Haruo Takemura,https://doi.org/10.1109/aim55361.2024.10637173,https://doi.org/10.1109/aim55361.2024.10637173,25,robot imitation learning action chunking,Computer science; Transformer; Chunking (psychology); Artificial intelligence; Electrical engineering; Engineering; Voltage,action representation and sequence policies,46.658,"Autonomous manipulation in robot arms is a complex and evolving field of study in robotics. This paper proposes work stands at the intersection of two innovative approaches in the field of robotics and machine learning. Inspired by the Action Chunking with Transformer (ACT) model, which",Represent robot actions so long-horizon manipulation can be learned robustly.,"Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Action chunks preserve semantics when decoded on another body. Temporal smoothing can compensate for one-step effect mismatch.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4401751184
316,landscape_1000,Voronoi-Based Multi-Robot Autonomous Exploration in Unknown Environments via Deep Reinforcement Learning,2020,IEEE Transactions on Vehicular Technology,Junyan Hu; Hanlin Niu; Joaquin Carrasco; Barry Lennox; Farshad Arvin,https://doi.org/10.1109/tvt.2020.3034800,https://doi.org/10.1109/tvt.2020.3034800,414,robot learning from demonstration action space,Reinforcement learning; Robot; Mobile robot; Computer science; Collision avoidance; Task (project management); Artificial intelligence; Voronoi diagram; Search and rescue; Scheme (mathematics),cross-embodiment and morphology transfer,46.628,"Autonomous exploration is an important application of multi-vehicle systems, where a team of networked robots are coordinated to explore an unknown environment collaboratively. This technique has earned significant research interest due to its usefulness in search and rescue, fault detection and monitoring, localization and mapping,","Transfer skills when kinematics, dynamics, or morphology differ.",Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3095315965
317,landscape_1000,Decomposing the Generalization Gap in Imitation Learning for Visual Robotic Manipulation,2024,,Annie Xie; Lisa Lee; Ted Xiao; Chelsea Finn,https://doi.org/10.1109/icra57147.2024.10611331,https://doi.org/10.1109/icra57147.2024.10611331,24,language conditioned robot manipulation policy,Generalization; Imitation; Computer science; Artificial intelligence; Computer vision; Robot; Humancomputer interaction; Mathematics; Psychology; Neuroscience,sim-to-real transfer,46.619,"What makes generalization hard for imitation learning in visual robotic manipulation? This question is difficult to approach at face value, but the environment from the perspective of a robot can often be decomposed into enumerable factors of variation, such as the lighting conditions or the",Make policies trained in simulation work on physical robots.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4401417065
318,landscape_1000,Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots,2020,IEEE Robotics and Automation Letters,Cristian C. Beltran-Hernandez; Damien Petit; Ixchel G. Ramirez-Alpizar; Takayuki Nishi; Shinichi Kikuchi; Takamitsu Matsubara; Kensuke Harada,https://doi.org/10.1109/lra.2020.3010739,https://doi.org/10.1109/lra.2020.3010739,150,contact rich manipulation robot learning; task space control robot learning,Robot; Position (finance); Control (management); Computer science; Contact force; Humancomputer interaction; Artificial intelligence; Physics; Classical mechanics; Business,sim-to-real transfer,46.617,"Reinforcement Learning (RL) methods have been proven successful in solving manipulation tasks autonomously. However, RL is still not widely adopted on real robotic systems because working with real hardware entails additional challenges, especially when using rigid position-controlled manipulators. These challenges include the need for a",Make policies trained in simulation work on physical robots.,"Reward-optimized policy learning, often with transfer or adaptation.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3028308378
319,landscape_1000,Modularity through Attention: Efficient Training and Transfer of Language-Conditioned Policies for Robot Manipulation,2022,arXiv (Cornell University),Yifan Zhou; Shubham Sonawani; Mariano Phielipp; Simon Stepputtis; Heni Ben Amor,https://doi.org/10.48550/arxiv.2212.04573,http://arxiv.org/abs/2212.04573,2,language conditioned robot manipulation policy,Modularity (biology); Computer science; Robot; Modular design; Reuse; Process (computing); Artificial intelligence; Code (set theory); Sample (material); Code reuse,cross-embodiment and morphology transfer,46.599,"Language-conditioned policies allow robots to interpret and execute human instructions. Learning such policies requires a substantial investment with regards to time and compute resources. Still, the resulting controllers are highly device-specific and cannot easily be transferred to a robot with different morphology, capability, appearance or","Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4311248360
320,landscape_1000,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,2017,arXiv (Cornell University),Josh Tobin; Rachel Fong; Alex Ray; Jonas Schneider; Wojciech Zaremba; Pieter Abbeel,https://doi.org/10.48550/arxiv.1703.06907,http://arxiv.org/abs/1703.06907,206,domain randomization robot manipulation; sim to real robot manipulation policy,Computer science; Artificial intelligence; Rendering (computer graphics); Robotics; Artificial neural network; Bridging (networking); Deep learning; Computer vision; Transfer of learning; Domain (mathematical analysis),sim-to-real transfer,46.583,"Bridging the 'reality gap' that separates simulated robotics from experiments on hardware could accelerate robotic research through improved data availability. This paper explores domain randomization, a simple technique for training models on simulated images that transfer to real images by randomizing rendering in the simulator.",Make policies trained in simulation work on physical robots.,Simulator variation or adaptation meant to make a learned policy robust on real hardware.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2952606116
321,landscape_1000,H-InDex: Visual Reinforcement Learning with Hand-Informed Representations for Dexterous Manipulation,2023,arXiv (Cornell University),Yanjie Ze; Yuyao Liu; Ruizhe Shi; Jiaxin Qin; Zhecheng Yuan; Jiashun Wang; Huazhe Xu,https://doi.org/10.48550/arxiv.2310.01404,http://arxiv.org/abs/2310.01404,4,robot retargeting manipulation policy,Reinforcement learning; Representation (politics); Index (typography); Computer science; Artificial intelligence; Reinforcement; Code (set theory); Machine learning; Humancomputer interaction; Psychology,robot foundation policies,46.559,"Human hands possess remarkable dexterity and have long served as a source of inspiration for robotic manipulation. In this work, we propose a human $\textbf{H}$and$\textbf{-In}$formed visual representation learning framework to solve difficult $\textbf{Dex}$terous manipulation tasks ($\textbf{H-InDex}$) with reinforcement learning. Our framework consists of three stages:","Scale robot policies across tasks, datasets, and robot embodiments.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4387323003
322,landscape_1000,Legged robots for object manipulation: A review,2023,Frontiers in Mechanical Engineering,Yifeng Gong; Ge Sun; Aditya Nair; Aditya Bidwai; Raghuram CS; John Grezmak; Guillaume Sartoretti; Kathryn A. Daltorio,https://doi.org/10.3389/fmech.2023.1142421,https://doi.org/10.3389/fmech.2023.1142421,31,robot manipulation action normalization,Robot; Legged robot; Robotics; Artificial intelligence; Object (grammar); Computer science; Humancomputer interaction; Terrain; Traverse; Simulation,sim-to-real transfer,46.416,"Legged robots can have a unique role in manipulating objects in dynamic, human-centric, or otherwise inaccessible environments. Although most legged robotics research to date typically focuses on traversing these challenging environments, many legged platform demonstrations have also included moving an object as a way of",Make policies trained in simulation work on physical robots.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4366827905
